"","long","lat","order","hole","piece","group","id"
"307",-95.7028151,29.96788323,10287,FALSE,"1","1055.1",1055
"308",-95.7027801,29.96834823,10288,FALSE,"1","1055.1",1055
"309",-95.7027611,29.96845323,10289,FALSE,"1","1055.1",1055
"310",-95.7027091,29.96874323,10290,FALSE,"1","1055.1",1055
"311",-95.7025851,29.96918023,10291,FALSE,"1","1055.1",1055
"312",-95.7023381,29.96987023,10292,FALSE,"1","1055.1",1055
"313",-95.7021671,29.97018823,10293,FALSE,"1","1055.1",1055
"314",-95.7019431,29.97058323,10294,FALSE,"1","1055.1",1055
"315",-95.7016831,29.97092523,10295,FALSE,"1","1055.1",1055
"316",-95.7012781,29.97137123,10296,FALSE,"1","1055.1",1055
"317",-95.7011531,29.97148723,10297,FALSE,"1","1055.1",1055
"318",-95.7010961,29.97157923,10298,FALSE,"1","1055.1",1055
"319",-95.7010661,29.97155823,10299,FALSE,"1","1055.1",1055
"320",-95.7010051,29.97151623,10300,FALSE,"1","1055.1",1055
"321",-95.7009621,29.97148723,10301,FALSE,"1","1055.1",1055
"322",-95.7008521,29.97141123,10302,FALSE,"1","1055.1",1055
"323",-95.7007701,29.97135423,10303,FALSE,"1","1055.1",1055
"324",-95.7001641,29.97093523,10304,FALSE,"1","1055.1",1055
"325",-95.6988541,29.97003023,10305,FALSE,"1","1055.1",1055
"326",-95.6974921,29.96908923,10306,FALSE,"1","1055.1",1055
"327",-95.6973211,29.96897123,10307,FALSE,"1","1055.1",1055
"328",-95.6971411,29.96884623,10308,FALSE,"1","1055.1",1055
"329",-95.69123309,29.96476423,10309,FALSE,"1","1055.1",1055
"330",-95.69006109,29.96393423,10310,FALSE,"1","1055.1",1055
"331",-95.68992309,29.96387723,10311,FALSE,"1","1055.1",1055
"332",-95.68981009,29.96385023,10312,FALSE,"1","1055.1",1055
"333",-95.68969909,29.96384423,10313,FALSE,"1","1055.1",1055
"334",-95.68966609,29.96385723,10314,FALSE,"1","1055.1",1055
"335",-95.68956309,29.96389923,10315,FALSE,"1","1055.1",1055
"336",-95.68941209,29.96397623,10316,FALSE,"1","1055.1",1055
"337",-95.68929909,29.96382723,10317,FALSE,"1","1055.1",1055
"338",-95.68902609,29.96352823,10318,FALSE,"1","1055.1",1055
"339",-95.68855009,29.96309523,10319,FALSE,"1","1055.1",1055
"340",-95.68848509,29.96304323,10320,FALSE,"1","1055.1",1055
"341",-95.68806809,29.96271323,10321,FALSE,"1","1055.1",1055
"342",-95.68788809,29.96290123,10322,FALSE,"1","1055.1",1055
"343",-95.68772309,29.96305523,10323,FALSE,"1","1055.1",1055
"344",-95.7012821,29.94075022,10324,FALSE,"1","1056.1",1056
"345",-95.6978301,29.94080722,10325,FALSE,"1","1056.1",1056
"346",-95.69474009,29.94086422,10326,FALSE,"1","1056.1",1056
"347",-95.69357109,29.94093022,10327,FALSE,"1","1056.1",1056
"348",-95.69259309,29.94110822,10328,FALSE,"1","1056.1",1056
"349",-95.69213609,29.94125422,10329,FALSE,"1","1056.1",1056
"350",-95.69179409,29.94140222,10330,FALSE,"1","1056.1",1056
"351",-95.69142109,29.94159322,10331,FALSE,"1","1056.1",1056
"352",-95.69085609,29.94192522,10332,FALSE,"1","1056.1",1056
"353",-95.69035209,29.94224722,10333,FALSE,"1","1056.1",1056
"354",-95.68987009,29.94254722,10334,FALSE,"1","1056.1",1056
"355",-95.68880909,29.94291422,10335,FALSE,"1","1056.1",1056
"356",-95.68848809,29.94305022,10336,FALSE,"1","1056.1",1056
"357",-95.68794509,29.94314222,10337,FALSE,"1","1056.1",1056
"358",-95.68748509,29.94317722,10338,FALSE,"1","1056.1",1056
"359",-95.68696709,29.94318522,10339,FALSE,"1","1056.1",1056
"360",-95.68406909,29.94320222,10340,FALSE,"1","1056.1",1056
"361",-95.68405109,29.94320322,10341,FALSE,"1","1056.1",1056
"362",-95.68234509,29.94325622,10342,FALSE,"1","1056.1",1056
"363",-95.68175809,29.94323622,10343,FALSE,"1","1056.1",1056
"364",-95.68113009,29.94318822,10344,FALSE,"1","1056.1",1056
"365",-95.68104609,29.94317722,10345,FALSE,"1","1056.1",1056
"366",-95.68075309,29.94314022,10346,FALSE,"1","1056.1",1056
"367",-95.68038309,29.94307622,10347,FALSE,"1","1056.1",1056
"368",-95.68004709,29.94300422,10348,FALSE,"1","1056.1",1056
"369",-95.67980109,29.94293622,10349,FALSE,"1","1056.1",1056
"370",-95.67954509,29.94285922,10350,FALSE,"1","1056.1",1056
"371",-95.67897609,29.94266422,10351,FALSE,"1","1056.1",1056
"372",-95.67855309,29.94249722,10352,FALSE,"1","1056.1",1056
"373",-95.67859109,29.94241722,10353,FALSE,"1","1056.1",1056
"374",-95.67929509,29.94095022,10354,FALSE,"1","1056.1",1056
"375",-95.67943609,29.94065522,10355,FALSE,"1","1056.1",1056
"376",-95.67997309,29.93953622,10356,FALSE,"1","1056.1",1056
"377",-95.68014309,29.93918022,10357,FALSE,"1","1056.1",1056
"378",-95.68022309,29.93901422,10358,FALSE,"1","1056.1",1056
"379",-95.68030409,29.93884722,10359,FALSE,"1","1056.1",1056
"380",-95.68074709,29.93792222,10360,FALSE,"1","1056.1",1056
"381",-95.68092609,29.93755022,10361,FALSE,"1","1056.1",1056
"382",-95.68118709,29.93700622,10362,FALSE,"1","1056.1",1056
"383",-95.68253709,29.93419522,10363,FALSE,"1","1056.1",1056
"384",-95.68255109,29.93416522,10364,FALSE,"1","1056.1",1056
"385",-95.68259409,29.93407322,10365,FALSE,"1","1056.1",1056
"386",-95.68477809,29.92952522,10366,FALSE,"1","1056.1",1056
"387",-95.68497809,29.92910622,10367,FALSE,"1","1056.1",1056
"388",-95.68588509,29.92721322,10368,FALSE,"1","1056.1",1056
"389",-95.68609309,29.92676022,10369,FALSE,"1","1056.1",1056
"390",-95.68624109,29.92641922,10370,FALSE,"1","1056.1",1056
"391",-95.68628009,29.92633022,10371,FALSE,"1","1056.1",1056
"392",-95.68634209,29.92608922,10372,FALSE,"1","1056.1",1056
"393",-95.68637809,29.92585822,10373,FALSE,"1","1056.1",1056
